Item_ID,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Yrs_since_inception,Outlet_Size,Outlet_Location_Type,Outlet_Type,sales,Number_of_units_sold
6173,8.645,Low Fat,Canned,53.3982,OUT035,12,Small,Tier 2,Supermarket Type1,1209.7586,23
6174,19.5,Low Fat,Breads,155.9314,OUT046,19,Small,Tier 1,Supermarket Type1,3878.285,25
6175,7.68,Low Fat,Fruits and Vegetables,190.8162,OUT017,9,Medium,Tier 2,Supermarket Type1,2693.8268,14
6176,15.7,Low Fat,Hard Drinks,43.277,OUT045,14,Medium,Tier 2,Supermarket Type1,649.155,15
6177,5.405,Regular,Canned,199.0742,OUT045,14,Medium,Tier 2,Supermarket Type1,4777.7808,24
6178,20.85,Regular,Baking Goods,86.9514,OUT045,14,Medium,Tier 2,Supermarket Type1,1416.8224,16
6179,7.39,Low Fat,Health and Hygiene,140.4812,OUT017,9,Medium,Tier 2,Supermarket Type1,2422.1804,17
6180,6.465,Low Fat,Canned,263.1884,OUT018,7,Medium,Tier 3,Supermarket Type2,2914.8724,11
6181,18.25,Low Fat,Snack Foods,197.6084,OUT045,14,Medium,Tier 2,Supermarket Type1,2380.9008,12
6182,10.195,Low Fat,Breads,31.9558,OUT013,29,High,Tier 3,Supermarket Type1,373.5138,12
6183,15.1,Low Fat,Baking Goods,91.583,OUT017,9,Medium,Tier 2,Supermarket Type1,539.298,6
6184,13.65,Regular,Fruits and Vegetables,114.8834,OUT018,7,Medium,Tier 3,Supermarket Type2,1612.5676,14
6185,5.985,Low Fat,Frozen Foods,125.2678,OUT017,9,Medium,Tier 2,Supermarket Type1,763.0068,6
6186,9.5,Low Fat,Hard Drinks,189.9872,OUT010,18,Medium,Tier 3,Grocery Store,756.3488,4
6187,11.15,Low Fat,Dairy,44.7744,OUT045,14,Medium,Tier 2,Supermarket Type1,181.0976,4
6188,18,Low Fat,Health and Hygiene,126.8994,OUT046,19,Small,Tier 1,Supermarket Type1,3083.9856,24
6189,16.2,Low Fat,Soft Drinks,73.4696,OUT013,29,High,Tier 3,Supermarket Type1,2087.9488,28
6190,13.15,Low Fat,Frozen Foods,179.7976,OUT049,17,Medium,Tier 1,Supermarket Type1,2535.3664,14
6191,20.6,Low Fat,Health and Hygiene,148.4392,OUT013,29,High,Tier 3,Supermarket Type1,1789.6704,12
6192,11.395,Regular,Meat,234.6616,OUT046,19,Small,Tier 1,Supermarket Type1,4687.232,20
6193,6.78,Regular,Fruits and Vegetables,229.5694,OUT013,29,High,Tier 3,Supermarket Type1,3425.541,15
6194,8.84,Regular,Frozen Foods,110.7228,OUT049,17,Medium,Tier 1,Supermarket Type1,1657.842,15
6195,16.7,Low Fat,Canned,184.0292,OUT046,19,Small,Tier 1,Supermarket Type1,3101.2964,17
6196,13.3,Regular,Fruits and Vegetables,63.2536,OUT017,9,Medium,Tier 2,Supermarket Type1,1347.5792,21
6197,12.6,Regular,Frozen Foods,102.399,OUT017,9,Medium,Tier 2,Supermarket Type1,2270.378,22
6198,7.6,Regular,Starchy Foods,172.3448,OUT035,12,Small,Tier 2,Supermarket Type1,2556.672,15
6199,12.6,Regular,Baking Goods,170.5764,OUT013,29,High,Tier 3,Supermarket Type1,3779.0808,22
6200,6.67,Regular,Snack Foods,90.0514,OUT049,17,Medium,Tier 1,Supermarket Type1,1505.3738,17
6201,10.695,Low Fat,Household,36.7848,OUT035,12,Small,Tier 2,Supermarket Type1,782.9808,21
6202,16.6,Low Fat,Fruits and Vegetables,173.5738,OUT035,12,Small,Tier 2,Supermarket Type1,1911.5118,11
6203,10,Regular,Snack Foods,127.2994,OUT046,19,Small,Tier 1,Supermarket Type1,642.497,5
6204,19.1,Low Fat,Others,185.2608,OUT017,9,Medium,Tier 2,Supermarket Type1,1470.0864,8
6205,17.6,Low Fat,Health and Hygiene,161.792,OUT010,18,Medium,Tier 3,Grocery Store,159.792,1
6206,19.5,Regular,Soft Drinks,235.3958,OUT049,17,Medium,Tier 1,Supermarket Type1,6309.7866,27
6207,10.1,Regular,Snack Foods,38.4848,OUT049,17,Medium,Tier 1,Supermarket Type1,633.8416,16
6208,8.6,Low Fat,Household,112.6176,OUT018,7,Medium,Tier 3,Supermarket Type2,3091.9752,27
6209,19.7,Low Fat,Frozen Foods,109.1912,OUT013,29,High,Tier 3,Supermarket Type1,1637.868,15
6210,15.35,Low Fat,Frozen Foods,37.219,OUT017,9,Medium,Tier 2,Supermarket Type1,805.618,22
6211,5.26,Regular,Baking Goods,162.6868,OUT017,9,Medium,Tier 2,Supermarket Type1,3767.0964,23
6212,9.8,Low Fat,Fruits and Vegetables,175.337,OUT045,14,Medium,Tier 2,Supermarket Type1,529.311,3
6213,16.5,Low Fat,Health and Hygiene,39.3506,OUT045,14,Medium,Tier 2,Supermarket Type1,645.1602,16
6214,10.5,Low Fat,Fruits and Vegetables,40.1164,OUT035,12,Small,Tier 2,Supermarket Type1,849.5608,21
6215,13.1,Low Fat,Others,191.353,OUT018,7,Medium,Tier 3,Supermarket Type2,1328.271,7
6216,9.3,Regular,Snack Foods,196.5084,OUT045,14,Medium,Tier 2,Supermarket Type1,4364.9848,22
6217,14.3,Low Fat,Frozen Foods,79.6302,OUT045,14,Medium,Tier 2,Supermarket Type1,792.302,10
6218,10.8,Low Fat,Soft Drinks,240.3564,OUT045,14,Medium,Tier 2,Supermarket Type1,4290.4152,18
6219,12.85,Low Fat,Snack Foods,157.763,OUT018,7,Medium,Tier 3,Supermarket Type2,2659.871,17
6220,6.78,Low Fat,Fruits and Vegetables,184.624,OUT035,12,Small,Tier 2,Supermarket Type1,5406.296,29
6221,9.195,Regular,Frozen Foods,85.5566,OUT035,12,Small,Tier 2,Supermarket Type1,930.1226,11
6222,7.905,Low Fat,Hard Drinks,229.2694,OUT046,19,Small,Tier 1,Supermarket Type1,1826.9552,8
6223,17.6,Low Fat,Snack Foods,115.4176,OUT017,9,Medium,Tier 2,Supermarket Type1,1145.176,10
6224,15.7,Regular,Canned,112.0202,OUT017,9,Medium,Tier 2,Supermarket Type1,3150.5656,28
6225,19.2,Low Fat,Frozen Foods,112.7886,OUT013,29,High,Tier 3,Supermarket Type1,1779.0176,16
6226,7.405,Low Fat,Canned,92.7146,OUT018,7,Medium,Tier 3,Supermarket Type2,1185.7898,13
6227,19.5,Regular,Soft Drinks,233.9958,OUT010,18,Medium,Tier 3,Grocery Store,467.3916,2
6228,9.195,Regular,Baking Goods,78.1644,OUT017,9,Medium,Tier 2,Supermarket Type1,1414.1592,18
6229,11.65,Low Fat,Baking Goods,151.1024,OUT045,14,Medium,Tier 2,Supermarket Type1,1518.024,10
6230,21.1,Low Fat,Household,146.1786,OUT013,29,High,Tier 3,Supermarket Type1,3034.0506,21
6231,8.695,Low Fat,Household,93.2094,OUT017,9,Medium,Tier 2,Supermarket Type1,666.4658,7
6232,7.27,Regular,Canned,89.0488,OUT013,29,High,Tier 3,Supermarket Type1,181.0976,2
6233,8.85,Low Fat,Household,105.6964,OUT013,29,High,Tier 3,Supermarket Type1,210.3928,2
6234,18.6,Low Fat,Snack Foods,152.9366,OUT035,12,Small,Tier 2,Supermarket Type1,1662.5026,11
6235,9.1,Regular,Frozen Foods,78.7618,OUT049,17,Medium,Tier 1,Supermarket Type1,402.809,5
6236,7.975,Low Fat,Baking Goods,82.425,OUT049,17,Medium,Tier 1,Supermarket Type1,749.025,9
6237,10,Low Fat,Health and Hygiene,121.444,OUT017,9,Medium,Tier 2,Supermarket Type1,2516.724,21
6238,6.865,Low Fat,Snack Foods,214.0218,OUT046,19,Small,Tier 1,Supermarket Type1,5556.7668,26
6239,16.7,Regular,Starchy Foods,65.5168,OUT035,12,Small,Tier 2,Supermarket Type1,1022.6688,16
6240,7.285,Low Fat,Household,174.9054,OUT010,18,Medium,Tier 3,Grocery Store,525.3162,3
6241,8.43,Low Fat,Soft Drinks,196.2768,OUT045,14,Medium,Tier 2,Supermarket Type1,1576.6144,8
6242,20.2,Regular,Baking Goods,194.611,OUT010,18,Medium,Tier 3,Grocery Store,392.822,2
6243,8.75,Regular,Fruits and Vegetables,187.6556,OUT049,17,Medium,Tier 1,Supermarket Type1,5257.1568,28
6244,9.695,Low Fat,Hard Drinks,177.5344,OUT035,12,Small,Tier 2,Supermarket Type1,3033.3848,17
6245,7.75,Regular,Frozen Foods,35.2558,OUT046,19,Small,Tier 1,Supermarket Type1,780.9834,22
6246,19.75,Low Fat,Fruits and Vegetables,115.8466,OUT013,29,High,Tier 3,Supermarket Type1,2474.7786,21
6247,9.8,Regular,Baking Goods,50.8008,OUT010,18,Medium,Tier 3,Grocery Store,101.2016,2
6248,11.8,Regular,Meat,152.4366,OUT017,9,Medium,Tier 2,Supermarket Type1,3929.5516,26
6249,9.8,Regular,Baking Goods,36.8874,OUT049,17,Medium,Tier 1,Supermarket Type1,564.5984,15
6250,7.42,Low Fat,Snack Foods,248.0092,OUT013,29,High,Tier 3,Supermarket Type1,1245.046,5
6251,20.75,Low Fat,Soft Drinks,151.8024,OUT010,18,Medium,Tier 3,Grocery Store,151.8024,1
6252,12.6,Regular,Frozen Foods,103.999,OUT049,17,Medium,Tier 1,Supermarket Type1,825.592,8
6253,19.75,Regular,Frozen Foods,179.566,OUT018,7,Medium,Tier 3,Supermarket Type2,2696.49,15
6254,10.895,Regular,Dairy,122.973,OUT013,29,High,Tier 3,Supermarket Type1,1231.73,10
6255,16.6,Low Fat,Frozen Foods,53.5614,OUT018,7,Medium,Tier 3,Supermarket Type2,939.4438,18
6256,6.765,Regular,Frozen Foods,105.3306,OUT017,9,Medium,Tier 2,Supermarket Type1,2090.612,20
6257,13.1,Low Fat,Fruits and Vegetables,175.8054,OUT045,14,Medium,Tier 2,Supermarket Type1,2801.6864,16
6258,6.155,Regular,Meat,213.956,OUT017,9,Medium,Tier 2,Supermarket Type1,2343.616,11
6259,10.65,Low Fat,Others,164.1526,OUT046,19,Small,Tier 1,Supermarket Type1,1808.9786,11
6260,20.25,Regular,Baking Goods,241.8538,OUT046,19,Small,Tier 1,Supermarket Type1,5768.4912,24
6261,20.5,Low Fat,Baking Goods,106.0596,OUT035,12,Small,Tier 2,Supermarket Type1,970.7364,9
6262,11.8,Regular,Frozen Foods,176.8344,OUT013,29,High,Tier 3,Supermarket Type1,3568.688,20
6263,15,Low Fat,Breads,120.0414,OUT013,29,High,Tier 3,Supermarket Type1,3533.4006,29
6264,13.15,Low Fat,Frozen Foods,180.7976,OUT013,29,High,Tier 3,Supermarket Type1,6157.3184,34
6265,15.5,Regular,Fruits and Vegetables,198.9768,OUT018,7,Medium,Tier 3,Supermarket Type2,4729.8432,24
6266,11.6,Regular,Frozen Foods,81.7276,OUT017,9,Medium,Tier 2,Supermarket Type1,1949.4624,24
6267,14.35,Regular,Frozen Foods,231.8984,OUT049,17,Medium,Tier 1,Supermarket Type1,4633.968,20
6268,13.15,Low Fat,Snack Foods,182.695,OUT045,14,Medium,Tier 2,Supermarket Type1,4211.185,23
6269,10.895,Regular,Dairy,121.673,OUT035,12,Small,Tier 2,Supermarket Type1,1970.768,16
6270,10.1,Low Fat,Health and Hygiene,199.5084,OUT017,9,Medium,Tier 2,Supermarket Type1,3372.9428,17
6271,18.7,Low Fat,Soft Drinks,50.8324,OUT017,9,Medium,Tier 2,Supermarket Type1,934.7832,18
6272,12.15,Low Fat,Health and Hygiene,224.0404,OUT049,17,Medium,Tier 1,Supermarket Type1,3375.606,15
6273,10.195,Regular,Frozen Foods,138.6838,OUT046,19,Small,Tier 1,Supermarket Type1,2388.2246,17
6274,8.575,Regular,Dairy,193.3794,OUT013,29,High,Tier 3,Supermarket Type1,780.3176,4
6275,16.5,Regular,Fruits and Vegetables,102.2332,OUT010,18,Medium,Tier 3,Grocery Store,102.5332,1
6276,9.065,Low Fat,Frozen Foods,95.3094,OUT018,7,Medium,Tier 3,Supermarket Type2,1713.7692,18
6277,16.6,Low Fat,Household,178.7344,OUT046,19,Small,Tier 1,Supermarket Type1,1605.9096,9
6278,11.6,Regular,Dairy,238.5222,OUT010,18,Medium,Tier 3,Grocery Store,717.0666,3
6279,19.5,Low Fat,Household,57.1614,OUT018,7,Medium,Tier 3,Supermarket Type2,1381.535,24
6280,16.6,Low Fat,Health and Hygiene,106.2596,OUT010,18,Medium,Tier 3,Grocery Store,215.7192,2
6281,11.85,Low Fat,Dairy,98.0726,OUT049,17,Medium,Tier 1,Supermarket Type1,1076.5986,11
6282,12.85,Low Fat,Snack Foods,170.6422,OUT013,29,High,Tier 3,Supermarket Type1,2931.5174,17
6283,9,Low Fat,Household,170.0474,OUT049,17,Medium,Tier 1,Supermarket Type1,4211.185,25
6284,5.655,Low Fat,Fruits and Vegetables,165.85,OUT035,12,Small,Tier 2,Supermarket Type1,1830.95,11
6285,8.93,Low Fat,Household,55.1614,OUT046,19,Small,Tier 1,Supermarket Type1,939.4438,17
6286,15.2,Low Fat,Household,108.1912,OUT035,12,Small,Tier 2,Supermarket Type1,1856.2504,17
6287,7.655,Low Fat,Canned,114.1492,OUT010,18,Medium,Tier 3,Grocery Store,115.8492,1
6288,15.5,Low Fat,Snack Foods,143.547,OUT049,17,Medium,Tier 1,Supermarket Type1,1431.47,10
6289,18.7,Low Fat,Frozen Foods,122.1072,OUT049,17,Medium,Tier 1,Supermarket Type1,490.0288,4
6290,9.5,Low Fat,Soft Drinks,31.89,OUT018,7,Medium,Tier 3,Supermarket Type2,366.19,11
6291,13.65,Low Fat,Frozen Foods,34.4558,OUT017,9,Medium,Tier 2,Supermarket Type1,611.2044,18
6292,19.5,Regular,Canned,86.254,OUT045,14,Medium,Tier 2,Supermarket Type1,2163.85,25
6293,8.71,Low Fat,Canned,46.5376,OUT013,29,High,Tier 3,Supermarket Type1,575.2512,12
6294,19.6,Low Fat,Dairy,46.3718,OUT017,9,Medium,Tier 2,Supermarket Type1,661.8052,14
6295,11.8,Low Fat,Health and Hygiene,82.3618,OUT035,12,Small,Tier 2,Supermarket Type1,1208.427,15
6296,6.715,Regular,Baking Goods,40.3454,OUT017,9,Medium,Tier 2,Supermarket Type1,838.908,21
6297,19.1,Low Fat,Household,39.6796,OUT013,29,High,Tier 3,Supermarket Type1,660.4736,17
6298,20.7,Low Fat,Baking Goods,156.6288,OUT049,17,Medium,Tier 1,Supermarket Type1,3928.22,25
6299,10.195,Low Fat,Hard Drinks,113.986,OUT018,7,Medium,Tier 3,Supermarket Type2,452.744,4
6300,20.2,Regular,Breakfast,155.163,OUT017,9,Medium,Tier 2,Supermarket Type1,782.315,5
6301,10.8,Low Fat,Soft Drinks,151.9024,OUT046,19,Small,Tier 1,Supermarket Type1,2580.6408,17
6302,19.75,Low Fat,Household,100.8332,OUT018,7,Medium,Tier 3,Supermarket Type2,1537.998,15
6303,19.35,Low Fat,Frozen Foods,120.9098,OUT049,17,Medium,Tier 1,Supermarket Type1,1687.1372,14
6304,7.405,Low Fat,Dairy,206.6296,OUT018,7,Medium,Tier 3,Supermarket Type2,3115.944,15
6305,15.25,Low Fat,Household,128.8968,OUT045,14,Medium,Tier 2,Supermarket Type1,2348.9424,18
6306,8.895,Low Fat,Frozen Foods,207.8954,OUT045,14,Medium,Tier 2,Supermarket Type1,3542.7218,17
6307,18.75,Low Fat,Household,215.2218,OUT046,19,Small,Tier 1,Supermarket Type1,4701.8796,22
6308,20.1,Low Fat,Dairy,110.3228,OUT046,19,Small,Tier 1,Supermarket Type1,1768.3648,16
6309,12.35,Low Fat,Health and Hygiene,35.7216,OUT017,9,Medium,Tier 2,Supermarket Type1,519.324,15
6310,16.85,Regular,Snack Foods,111.8544,OUT018,7,Medium,Tier 3,Supermarket Type2,1677.816,15
6311,18.25,Low Fat,Starchy Foods,166.3526,OUT010,18,Medium,Tier 3,Grocery Store,164.4526,1
6312,17,Low Fat,Dairy,219.8114,OUT049,17,Medium,Tier 1,Supermarket Type1,1108.557,5
6313,14.3,Low Fat,Baking Goods,76.7328,OUT018,7,Medium,Tier 3,Supermarket Type2,1312.9576,17
6314,17.6,Regular,Snack Foods,35.019,OUT046,19,Small,Tier 1,Supermarket Type1,659.142,19
6315,20.25,Low Fat,Dairy,218.3482,OUT018,7,Medium,Tier 3,Supermarket Type2,2409.5302,11
6316,18,Low Fat,Snack Foods,145.1418,OUT017,9,Medium,Tier 2,Supermarket Type1,2648.5524,18
6317,16.35,Low Fat,Others,106.028,OUT045,14,Medium,Tier 2,Supermarket Type1,1065.28,10
6318,14,Regular,Canned,53.764,OUT017,9,Medium,Tier 2,Supermarket Type1,798.96,15
6319,5.78,Low Fat,Soft Drinks,145.2102,OUT046,19,Small,Tier 1,Supermarket Type1,3062.0142,21
6320,21,Low Fat,Snack Foods,191.8478,OUT010,18,Medium,Tier 3,Grocery Store,774.9912,4
6321,13.65,Regular,Frozen Foods,262.8936,OUT049,17,Medium,Tier 1,Supermarket Type1,4958.8784,19
6322,12.3,Regular,Fruits and Vegetables,173.1396,OUT010,18,Medium,Tier 3,Grocery Store,697.7584,4
6323,12.35,Regular,Meat,196.9426,OUT045,14,Medium,Tier 2,Supermarket Type1,2768.3964,14
6324,11.8,Low Fat,Soft Drinks,185.1924,OUT017,9,Medium,Tier 2,Supermarket Type1,2591.2936,14
6325,19.7,Low Fat,Hard Drinks,127.3362,OUT035,12,Small,Tier 2,Supermarket Type1,755.0172,6
6326,10.1,Low Fat,Canned,50.9008,OUT013,29,High,Tier 3,Supermarket Type1,354.2056,7
6327,17.85,Low Fat,Breads,94.1436,OUT013,29,High,Tier 3,Supermarket Type1,1607.2412,17
6328,20.7,Low Fat,Household,74.6354,OUT013,29,High,Tier 3,Supermarket Type1,1053.2956,14
6329,8.89,Low Fat,Frozen Foods,99.7016,OUT046,19,Small,Tier 1,Supermarket Type1,1922.8304,19
6330,14.5,Low Fat,Canned,153.4682,OUT035,12,Small,Tier 2,Supermarket Type1,1677.1502,11
6331,9,Low Fat,Household,100.8016,OUT017,9,Medium,Tier 2,Supermarket Type1,1113.2176,11
6332,13.35,Low Fat,Dairy,77.5012,OUT018,7,Medium,Tier 3,Supermarket Type2,1518.024,20
6333,6.675,Low Fat,Snack Foods,92.3462,OUT046,19,Small,Tier 1,Supermarket Type1,2406.2012,26
6334,10.3,Regular,Baking Goods,173.0422,OUT013,29,High,Tier 3,Supermarket Type1,2069.3064,12
6335,17.1,Regular,Fruits and Vegetables,207.0638,OUT013,29,High,Tier 3,Supermarket Type1,4969.5312,24
6336,14.15,Low Fat,Fruits and Vegetables,123.6046,OUT018,7,Medium,Tier 3,Supermarket Type2,1245.046,10
6337,10.8,Low Fat,Soft Drinks,236.5564,OUT017,9,Medium,Tier 2,Supermarket Type1,5243.8408,22
6338,8.5,Low Fat,Canned,51.3324,OUT018,7,Medium,Tier 3,Supermarket Type2,934.7832,18
6339,6.215,Low Fat,Fruits and Vegetables,39.2848,OUT013,29,High,Tier 3,Supermarket Type1,521.9872,13
6340,17.5,Low Fat,Snack Foods,253.0356,OUT035,12,Small,Tier 2,Supermarket Type1,4578.0408,18
6341,20.7,Low Fat,Dairy,178.3028,OUT045,14,Medium,Tier 2,Supermarket Type1,1062.6168,6
6342,8.975,Regular,Canned,103.399,OUT046,19,Small,Tier 1,Supermarket Type1,2579.975,25
6343,20.5,Regular,Frozen Foods,83.9592,OUT010,18,Medium,Tier 3,Grocery Store,165.1184,2
6344,13.65,Low Fat,Frozen Foods,46.1402,OUT018,7,Medium,Tier 3,Supermarket Type2,459.402,10
6345,13.1,Low Fat,Dairy,167.5158,OUT045,14,Medium,Tier 2,Supermarket Type1,1504.0422,9
6346,4.615,Regular,Canned,232.23,OUT035,12,Small,Tier 2,Supermarket Type1,5126.66,22
6347,12.3,Regular,Fruits and Vegetables,172.8396,OUT046,19,Small,Tier 1,Supermarket Type1,2616.594,15
6348,19.2,Low Fat,Frozen Foods,112.4886,OUT035,12,Small,Tier 2,Supermarket Type1,1223.0746,11
6349,20.1,Regular,Frozen Foods,152.1366,OUT049,17,Medium,Tier 1,Supermarket Type1,755.683,5
6350,11.5,Regular,Snack Foods,109.5254,OUT018,7,Medium,Tier 3,Supermarket Type2,1953.4572,18
6351,9.3,Low Fat,Canned,143.0786,OUT010,18,Medium,Tier 3,Grocery Store,288.9572,2
6352,15.2,Regular,Fruits and Vegetables,176.5054,OUT018,7,Medium,Tier 3,Supermarket Type2,2976.7918,17
6353,12.65,Regular,Frozen Foods,191.3846,OUT045,14,Medium,Tier 2,Supermarket Type1,2675.1844,14
6354,11.1,Low Fat,Canned,84.1908,OUT035,12,Small,Tier 2,Supermarket Type1,755.0172,9
6355,19.2,Low Fat,Household,131.231,OUT035,12,Small,Tier 2,Supermarket Type1,3635.268,28
6356,19.75,Low Fat,Fruits and Vegetables,187.5872,OUT045,14,Medium,Tier 2,Supermarket Type1,1323.6104,7
6357,6.135,Low Fat,Soft Drinks,112.686,OUT045,14,Medium,Tier 2,Supermarket Type1,2942.836,26
6358,12.5,Low Fat,Breads,199.1742,OUT035,12,Small,Tier 2,Supermarket Type1,4379.6324,22
6359,7.235,Low Fat,Snack Foods,193.9452,OUT045,14,Medium,Tier 2,Supermarket Type1,2936.178,15
6360,15.85,Low Fat,Snack Foods,53.3956,OUT035,12,Small,Tier 2,Supermarket Type1,600.5516,11
6361,9.895,Regular,Frozen Foods,260.5278,OUT045,14,Medium,Tier 2,Supermarket Type1,8851.1452,34
6362,20.75,Low Fat,Soft Drinks,153.0024,OUT035,12,Small,Tier 2,Supermarket Type1,2428.8384,16
6363,10.8,Low Fat,Soft Drinks,239.9564,OUT049,17,Medium,Tier 1,Supermarket Type1,3813.7024,16
6364,8.76,Low Fat,Health and Hygiene,128.3336,OUT049,17,Medium,Tier 1,Supermarket Type1,2556.672,20
6365,16.1,Regular,Fruits and Vegetables,97.341,OUT049,17,Medium,Tier 1,Supermarket Type1,1255.033,13
6366,7.1,Low Fat,Fruits and Vegetables,172.908,OUT035,12,Small,Tier 2,Supermarket Type1,2769.728,16
6367,19.35,Regular,Fruits and Vegetables,76.8644,OUT045,14,Medium,Tier 2,Supermarket Type1,1571.288,20
6368,16.7,Regular,Baking Goods,189.2214,OUT010,18,Medium,Tier 3,Grocery Store,188.4214,1
6369,9.5,Regular,Fruits and Vegetables,168.6448,OUT013,29,High,Tier 3,Supermarket Type1,1022.6688,6
6370,8.43,Low Fat,Soft Drinks,197.8768,OUT013,29,High,Tier 3,Supermarket Type1,3744.4592,19
6371,14.15,Low Fat,Household,196.511,OUT045,14,Medium,Tier 2,Supermarket Type1,2749.754,14
6372,5.44,Low Fat,Dairy,239.1538,OUT018,7,Medium,Tier 3,Supermarket Type2,480.7076,2
6373,7.35,Regular,Fruits and Vegetables,242.6512,OUT013,29,High,Tier 3,Supermarket Type1,969.4048,4
6374,20.1,Regular,Frozen Foods,151.3366,OUT013,29,High,Tier 3,Supermarket Type1,2720.4588,18
6375,12,Low Fat,Canned,181.8976,OUT046,19,Small,Tier 1,Supermarket Type1,4527.44,25
6376,21.25,Low Fat,Meat,185.5608,OUT035,12,Small,Tier 2,Supermarket Type1,3123.9336,17
6377,8.3,Regular,Baking Goods,98.0384,OUT045,14,Medium,Tier 2,Supermarket Type1,2857.6136,29
6378,10.1,Low Fat,Meat,76.067,OUT017,9,Medium,Tier 2,Supermarket Type1,1454.773,19
6379,14.15,Low Fat,Starchy Foods,123.5046,OUT017,9,Medium,Tier 2,Supermarket Type1,1992.0736,16
6380,9,Low Fat,Canned,78.3644,OUT045,14,Medium,Tier 2,Supermarket Type1,1728.4168,22
6381,12.15,Low Fat,Breads,163.6184,OUT018,7,Medium,Tier 3,Supermarket Type2,2311.6576,14
6382,20,Regular,Fruits and Vegetables,45.5744,OUT049,17,Medium,Tier 1,Supermarket Type1,452.744,10
6383,6.71,Regular,Baking Goods,65.8142,OUT046,19,Small,Tier 1,Supermarket Type1,856.8846,13
6384,7.365,Low Fat,Fruits and Vegetables,228.372,OUT017,9,Medium,Tier 2,Supermarket Type1,2037.348,9
6385,7.935,Low Fat,Dairy,50.035,OUT013,29,High,Tier 3,Supermarket Type1,149.805,3
6386,12.6,Low Fat,Seafood,51.3982,OUT017,9,Medium,Tier 2,Supermarket Type1,473.3838,9
6387,17.6,Low Fat,Frozen Foods,42.7454,OUT049,17,Medium,Tier 1,Supermarket Type1,293.6178,7
6388,19,Low Fat,Household,190.1872,OUT049,17,Medium,Tier 1,Supermarket Type1,5105.3544,27
6389,7.5,Low Fat,Health and Hygiene,175.3028,OUT017,9,Medium,Tier 2,Supermarket Type1,3010.7476,17
6390,13.35,Low Fat,Dairy,77.6012,OUT046,19,Small,Tier 1,Supermarket Type1,986.7156,13
6391,8.6,Low Fat,Household,112.9176,OUT046,19,Small,Tier 1,Supermarket Type1,458.0704,4
6392,10.5,Regular,Snack Foods,140.6154,OUT010,18,Medium,Tier 3,Grocery Store,283.6308,2
6393,9,Low Fat,Frozen Foods,213.3534,OUT046,19,Small,Tier 1,Supermarket Type1,1935.4806,9
6394,4.61,Low Fat,Hard Drinks,172.4396,OUT049,17,Medium,Tier 1,Supermarket Type1,1569.9564,9
6395,10.895,Regular,Frozen Foods,146.2102,OUT010,18,Medium,Tier 3,Grocery Store,437.4306,3
6396,17.6,Low Fat,Snack Foods,112.7176,OUT049,17,Medium,Tier 1,Supermarket Type1,1717.764,15
6397,11.65,Low Fat,Fruits and Vegetables,188.224,OUT049,17,Medium,Tier 1,Supermarket Type1,1304.968,7
6398,19.1,Low Fat,Household,41.9796,OUT049,17,Medium,Tier 1,Supermarket Type1,784.3124,19
6399,17.2,Regular,Canned,165.7184,OUT045,14,Medium,Tier 2,Supermarket Type1,1816.3024,11
6400,16.5,Low Fat,Canned,206.8638,OUT045,14,Medium,Tier 2,Supermarket Type1,2070.638,10
6401,15.6,Low Fat,Breakfast,128.0994,OUT045,14,Medium,Tier 2,Supermarket Type1,2184.4898,17
6402,9,Low Fat,Household,99.6016,OUT035,12,Small,Tier 2,Supermarket Type1,1922.8304,19
6403,15,Low Fat,Snack Foods,44.0744,OUT013,29,High,Tier 3,Supermarket Type1,633.8416,14
6404,6.195,Low Fat,Snack Foods,119.3098,OUT049,17,Medium,Tier 1,Supermarket Type1,1205.098,10
6405,20.2,Regular,Baking Goods,197.311,OUT049,17,Medium,Tier 1,Supermarket Type1,3338.987,17
6406,20.7,Low Fat,Fruits and Vegetables,38.7506,OUT013,29,High,Tier 3,Supermarket Type1,227.7036,6
6407,20.25,Low Fat,Household,245.046,OUT018,7,Medium,Tier 3,Supermarket Type2,4680.574,19
6408,7.655,Low Fat,Canned,117.7492,OUT013,29,High,Tier 3,Supermarket Type1,695.0952,6
6409,5.92,Regular,Soft Drinks,49.0692,OUT017,9,Medium,Tier 2,Supermarket Type1,1478.076,30
6410,18.75,Low Fat,Dairy,99.0042,OUT017,9,Medium,Tier 2,Supermarket Type1,694.4294,7
6411,9.395,Regular,Baking Goods,88.3856,OUT045,14,Medium,Tier 2,Supermarket Type1,703.0848,8
6412,13.35,Low Fat,Snack Foods,149.3708,OUT035,12,Small,Tier 2,Supermarket Type1,4514.124,30
6413,19.2,Low Fat,Household,196.211,OUT010,18,Medium,Tier 3,Grocery Store,589.233,3
6414,19,Regular,Fruits and Vegetables,226.172,OUT013,29,High,Tier 3,Supermarket Type1,3169.208,14
6415,14.15,Low Fat,Fruits and Vegetables,124.2046,OUT046,19,Small,Tier 1,Supermarket Type1,2490.092,20
6416,20.85,Regular,Baking Goods,88.1514,OUT035,12,Small,Tier 2,Supermarket Type1,1151.1682,13
6417,8.63,Low Fat,Snack Foods,186.0582,OUT017,9,Medium,Tier 2,Supermarket Type1,3900.9222,21
6418,16.7,Low Fat,Household,248.4776,OUT018,7,Medium,Tier 3,Supermarket Type2,6439.6176,26
